0,1 
4,100 
5,12 
6,2 
6,19 
6,86 
6,1463 
7,7 
7,122 
7,1021 
7,2272 
8,2 
8,6 
8,9 
8,14 
8,14 
8,37 
8,92 
8,113 
8,253 
8,285 
8,409 
8,671 
8,5685 
8,22813 
9,5 
9,10 
9,11 
9,27 
9,34 
9,53 
9,128 
9,265 
9,417 
9,701 
9,2181 
9,2465 
9,9610 
9,39580 
9,59858 
10,586 
10,846 
10,1884 
10,3916 
10,5235 
10,7963 
10,16866 
10,17435 
10,39716 
10,48716 
10,275561 
10,465504 
11,36061 
11,79490 
11,158862 
11,183146 
11,550869 
11,1176220 
11,2141979 
12,426009 
12,1019173 
12,2209864 
12,2488074 
12,10507420 
12,11201496 
13,6074124 
13,14797007 
13,32347957 
13,51688962 
14,35275551 
14,80963802 
14,156186427 
15,172108443 
15,245443486 
16,577576333 
17,328821700 
18,861545768 
20,525067103
