0,2
1,4
2,24
4,140
4,372
5,24
5,818
5,938
6,8
6,406
6,460
6,698
6,7782
7,1076
7,3498
7,12598
7,15886
8,24
8,114
8,16212
8,80504
8,145490
9,48
9,170
9,186
9,296
9,584
9,936
9,986
9,996
9,1254
9,1726
9,3332
9,3800
9,337400
9,436818
10,2268
10,3872
10,5254
10,9828
10,10538
10,15388
10,21346
10,25856
10,48604
10,71812
10,232266
10,2306666
11,52114
11,91990
11,202156
11,213852
11,677204
11,2401612
11,3628106
12,393134
12,783644
12,1739288
12,2734576
12,10708586
12,21195018
13,3586138
13,7729090
13,36784074
13,46726404
14,17414326
14,37188304
14,182591664
15,77133110
15,218172026
16,593873238
17,146601052
18,721370410
20,217675516
